score,kind,file,function,start_line,evidence_line,details,excerpt
88,lost-update-counter,services.c,kain_service_registry_count_by_requirement,928,942,count-like state mutates without lock or atomic primitive,"int kain_service_registry_count_by_requirement( || const KainServiceRegistry* registry, || KainServiceRequirement requirement"
88,lost-update-counter,stdlib_abi.c,abi_patch_record_i64,1190,1206,count-like state mutates without lock or atomic primitive,"int64_t abi_patch_record_i64(const char* patch_name, const char* path, int64_t old_value, int64_t new_value) { || KainNativePatchJournalEntry* entry; || /* Proof: runtime/native/src/core/z3/proofs/native-stdlib-patch-journal-count-stays-within-capacity.yaml */"
88,lost-update-counter,stdlib_abi.c,abi_entangle_record_i64,1247,1260,count-like state mutates without lock or atomic primitive,"int64_t abi_entangle_record_i64(const char* authority, const char* mirror, int64_t value) { || (void)value; || abi_copy_text("
88,lost-update-counter,stdlib_abi.c,abi_converge_record_i64,1275,1280,count-like state mutates without lock or atomic primitive,"int64_t abi_converge_record_i64(const char* converge_name, const char* lane_name, int64_t spec_value, int64_t fast_value) { || (void)converge_name; || (void)lane_name;"
88,lost-update-counter,stdlib_abi.c,abi_converge_record_bool,1285,1290,count-like state mutates without lock or atomic primitive,"int64_t abi_converge_record_bool(const char* converge_name, const char* lane_name, int fast_matches) { || (void)converge_name; || (void)lane_name;"
88,lost-update-counter,stdlib_abi.c,abi_orchestrate_stage_begin,1299,1303,count-like state mutates without lock or atomic primitive,"int64_t abi_orchestrate_stage_begin(const char* runtime_name, const char* function_name) { || (void)runtime_name; || (void)function_name;"
75,unsynced-global-write,actor.c,kain_actor_borrowed_message_release_match,399,403,"writes global state without lock, once primitive, or atomic primitive",static int kain_actor_borrowed_message_release_match(const void* message_data) { || unsigned int index; || if (message_data == NULL || g_actor_borrowed_message_depth == 0u) {
75,unsynced-global-write,actor.c,kain_actor_runtime_init,1231,1256,"writes global state without lock, once primitive, or atomic primitive",/* || * Initialize Actor Runtime || *
75,unsynced-global-write,async.c,kain_async_runtime_init_impl,227,236,"writes global state without lock, once primitive, or atomic primitive","static void kain_async_runtime_init_impl(void) { || memset(g_async_tasks, 0, sizeof(g_async_tasks)); || memset(g_async_timers, 0, sizeof(g_async_timers));"
75,unsynced-global-write,core.c,emit_diagnostic,66,75,"writes global state without lock, once primitive, or atomic primitive","static void emit_diagnostic( || KainDiagSubsystem subsystem, || KainDiagSeverity severity,"
